,AnimalID,Protocol,Muscimol,SessionTime,TrialHighPerc,FirstPoke
8289,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8290,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8291,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8292,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,50.0,2.0
8293,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8294,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8295,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8296,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,2.0
8297,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,2.0
8298,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,2.0
8299,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8300,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8301,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8302,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8303,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,50.0,2.0
8304,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8305,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,50.0,2.0
8306,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8307,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,1.0
8308,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,2.0
8309,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,50.0,2.0
8310,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8311,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,1.0
8312,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8313,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,50.0,1.0
8314,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,1.0
8315,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,1.0
8316,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,2.0
8317,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,2.0
8318,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,1.0
8319,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,2.0
8320,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8321,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8322,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8323,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8324,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8325,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8326,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,2.0
8327,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8328,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,2.0
8329,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,2.0
8330,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,
8331,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8332,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,1.0
8333,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8334,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,50.0,1.0
8335,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,2.0
8336,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8337,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8338,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8339,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8340,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,2.0
8341,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8342,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,2.0
8343,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,1.0
8344,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,2.0
8345,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8346,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8347,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,2.0
8348,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,2.0
8349,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,2.0
8350,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8351,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,2.0
8352,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8353,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8354,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,50.0,2.0
8355,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8356,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,1.0
8357,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8358,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8359,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8360,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,50.0,1.0
8361,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8362,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,2.0
8363,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,2.0
8364,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,1.0
8365,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,2.0
8366,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,2.0
8367,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8368,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,50.0,2.0
8369,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8370,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,1.0
8371,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,50.0,2.0
8372,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8373,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,50.0,2.0
8374,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8375,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,50.0,2.0
8376,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,2.0
8377,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,2.0
8378,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8379,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,2.0
8380,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8381,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8382,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8383,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,1.0
8384,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,2.0
8385,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,2.0
8386,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,1.0
8387,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8388,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,1.0
8389,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,50.0,2.0
8390,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8391,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8392,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,1.0
8393,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8394,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,1.0
8395,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,50.0,2.0
8396,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,1.0
8397,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,2.0
8398,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,2.0
8399,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,1.0
8400,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,1.0
8401,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,2.0
8402,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,1.0
8403,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,1.0
8404,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8405,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8406,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,1.0
8407,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,1.0
8408,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,2.0
8409,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8410,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,2.0
8411,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8412,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8413,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,1.0
8414,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,1.0
8415,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8416,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,1.0
8417,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8418,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8419,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,2.0
8420,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,1.0
8421,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,2.0
8422,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8423,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,2.0
8424,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,2.0
8425,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,2.0
8426,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8427,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8428,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8429,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,2.0
8430,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,1.0
8431,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8432,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8433,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8434,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,50.0,1.0
8435,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8436,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,2.0
8437,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8438,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8439,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8440,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,2.0
8441,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8442,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,50.0,2.0
8443,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8444,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8445,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,2.0
8446,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8447,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,50.0,2.0
8448,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,2.0
8449,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,1.0
8450,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8451,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,50.0,2.0
8452,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8453,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8454,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8455,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8456,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,2.0
8457,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8458,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,50.0,2.0
8459,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,50.0,2.0
8460,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8461,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8462,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8463,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8464,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,2.0
8465,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,2.0
8466,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,2.0
8467,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,2.0
8468,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8469,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,50.0,2.0
8470,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8471,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8472,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,1.0
8473,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8474,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,1.0
8475,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,82.0,2.0
8476,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,50.0,2.0
8477,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,1.0
8478,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8479,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,2.0
8480,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,66.0,2.0
8481,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8482,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8483,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8484,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8485,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,2.0,2.0
8486,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,34.0,2.0
8487,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,2.0
8488,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,2.0
8489,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,18.0,2.0
8490,pdyn01,Aud_Psycho,StrTail-bilat,Oct09 13:32,98.0,2.0
